subdivisionCode,latLng,boundingBox,geojson,perimeter,neighbours
SB-CT,"-9.4311,159.9553","[-9.4585, -9.4127, 159.9173, 160.0227]",,32.26,"SB-GU,SB-ML"
SB-GU,"-9.6704,160.0779","[-10.5, -9.2167, 158.449, 161.0]",,746.18,"SB-CE,SB-CT,SB-MK,SB-ML,SB-WE"
SB-IS,"-7.7877,159.2083","[-8.75, -7.0084, 157.9167, 160.5]",,900.86,"SB-CE,SB-CH,SB-ML,SB-WE"
SB-MK,"-10.2835,161.7281","[-11.104, -9.2412, 160.9055, 162.6776]",,671.89,"SB-GU,SB-ML"
SB-ML,"-8.9833,161.0512","[-10.0, -4.8128, 158.9809, 163.1525]",,1395.23,"SB-CE,SB-CT,SB-GU,SB-IS,SB-MK,SB-WE"
SB-RB,"-12.1134,160.3171","[-13.2424, -11.0678, 159.5454, 160.8556]",,614.08,
SB-TE,"-10.8891,166.231","[-12.5087, -9.5551, 165.4919, 170.3965]",,1294.19,
SB-WE,"-7.8167,156.684","[-9.3333, -6.4093, 155.3191, 159.0]",,1209.07,"SB-CE,SB-CH,SB-GU,SB-IS,SB-ML"
SC-01,"-4.6895,55.5161","[-4.6959, -4.6831, 55.5029, 55.5317]",,10.2,"SC-02,SC-04,SC-11,SC-20"
SC-02,"-4.7111,55.4837","[-4.7381, -4.6826, 55.4755, 55.5053]",,18.47,"SC-01,SC-04,SC-05,SC-06,SC-11,SC-13"
SC-03,"-4.5933,55.4552","[-4.6077, -4.5756, 55.4403, 55.4661]",,16.98,"SC-08,SC-12,SC-15,SC-16,SC-17,SC-18,SC-26,SC-27"
SC-04,"-4.7112,55.5123","[-4.7351, -4.6883, 55.499, 55.5302]",,15.65,"SC-01,SC-02,SC-05,SC-06,SC-11"
SC-05,"-4.7376,55.5176","[-4.7648, -4.7162, 55.5006, 55.5258]",,15.4,"SC-02,SC-04,SC-06,SC-23"
SC-06,"-4.7526,55.4812","[-4.7695, -4.7346, 55.4609, 55.5121]",,22.33,"SC-02,SC-04,SC-05,SC-23"
SC-07,"-4.3411,55.7564","[-4.357, -4.2578, 55.6724, 55.7935]",,62.99,"SC-14,SC-15"
SC-08,"-4.6096,55.4381","[-4.628, -4.5923, 55.4233, 55.4475]",,13.15,"SC-03,SC-09,SC-10,SC-12,SC-15,SC-16,SC-17,SC-18,SC-21,SC-22"
SC-09,"-4.6367,55.4469","[-4.6557, -4.6176, 55.4384, 55.4618]",,17.28,"SC-08,SC-13,SC-16,SC-17,SC-18,SC-19,SC-21,SC-22"
SC-10,"-4.6194,55.4113","[-4.6471, -4.6145, 55.3854, 55.433]",,18.81,"SC-08,SC-21,SC-22"
SC-11,"-4.6691,55.4973","[-4.6906, -4.6501, 55.4686, 55.5123]",,24.79,"SC-01,SC-02,SC-04,SC-13,SC-19,SC-20,SC-24,SC-25"
SC-12,"-4.5837,55.4346","[-4.5935, -4.4828, 55.431, 55.541]",,17.64,"SC-03,SC-08,SC-15"
SC-13,"-4.675,55.4505","[-4.7086, -4.6556, 55.4384, 55.4872]",,22.58,"SC-02,SC-09,SC-11,SC-19,SC-21,SC-24"
SC-14,"-4.327,55.7177","[-4.3627, -4.2098, 55.6437, 55.7609]",,38.96,"SC-07,SC-15"
SC-15,"-4.4889,55.2329","[-4.6026, -3.7103, 55.2017, 55.9532]",,95.43,"SC-03,SC-07,SC-08,SC-12,SC-14,SC-18,SC-27"
SC-16,"-4.6117,55.4546","[-4.6294, -4.6031, 55.4475, 55.4725]",,13.03,"SC-03,SC-08,SC-09,SC-17,SC-18,SC-21,SC-22,SC-26,SC-27"
SC-17,"-4.6141,55.4468","[-4.6207, -4.6077, 55.4388, 55.4538]",,5.37,"SC-03,SC-08,SC-09,SC-16,SC-18,SC-22"
SC-18,"-4.6337,55.4562","[-4.6425, -4.5969, 55.4472, 55.5303]",,26.32,"SC-03,SC-08,SC-09,SC-15,SC-16,SC-17,SC-19,SC-21,SC-22,SC-24,SC-25,SC-26,SC-27"
SC-19,"-4.6499,55.4603","[-4.6663, -4.6337, 55.4505, 55.4694]",,10.54,"SC-09,SC-11,SC-13,SC-18,SC-21,SC-24,SC-25"
SC-20,"-4.6749,55.5179","[-4.685, -4.6632, 55.506, 55.5358]",,13.71,"SC-01,SC-11"
SC-21,"-4.6641,55.4178","[-4.687, -4.6253, 55.3602, 55.4505]",,51.84,"SC-08,SC-09,SC-10,SC-13,SC-16,SC-18,SC-19,SC-22"
SC-22,"-4.6236,55.4413","[-4.6295, -4.6174, 55.4319, 55.4569]",,7.87,"SC-08,SC-09,SC-10,SC-16,SC-17,SC-18,SC-21"
SC-23,"-4.7846,55.5121","[-4.8131, -4.7611, 55.4825, 55.5391]",,24.79,"SC-05,SC-06"
SC-24,"-4.6487,55.4702","[-4.6578, -4.6397, 55.4635, 55.4801]",,7.12,"SC-11,SC-13,SC-18,SC-19,SC-25"
SC-25,"-4.6376,55.4677","[-4.6512, -4.6308, 55.463, 55.4832]",,20.28,"SC-11,SC-18,SC-19,SC-24"
SC-26,"-4.609,55.4666","[-4.6136, -4.6044, 55.4628, 55.4708]",,3.47,"SC-03,SC-16,SC-18,SC-27"
SC-27,"-4.6038,55.4651","[-4.6093, -4.5984, 55.4597, 55.47]",,4.1,"SC-03,SC-15,SC-16,SC-18,SC-26"
SD-DC,"12.1297,23.1736","[10.6953, 13.5639, 22.5528, 24.7287]",,993.2,"SD-DN,SD-DS,SD-DW"
SD-DE,"11.2232,26.5858","[9.4889, 12.9703, 24.9581, 27.9072]",,1287.66,"SD-DN,SD-DS,SD-GK,SD-KN"
SD-DN,"16.0,26.0","[11.7185, 20.0014, 22.7817, 27.5275]",,2991.45,"SD-DC,SD-DE,SD-DS,SD-DW,SD-GK,SD-KN,SD-NO"
SD-DS,"11.0,25.0","[9.6554, 13.133, 23.0131, 25.849]",,1515.3,"SD-DC,SD-DE,SD-DN,SD-DW"
SD-DW,"13.511,22.7033","[12.0309, 14.991, 21.8144, 23.2499]",,995.73,"SD-DC,SD-DN,SD-DS"
SD-GD,"13.9758,35.0851","[12.6658, 15.7875, 33.4313, 36.4272]",,1177.83,"SD-GZ,SD-KA,SD-KH,SD-SI"
SD-GK,"12.0,28.5","[9.3439, 14.1117, 27.0395, 29.9218]",,1528.63,"SD-DE,SD-DN,SD-KN,SD-KS"
SD-GZ,"14.6672,33.2224","[13.5829, 15.5289, 32.4434, 34.2864]",,940.63,"SD-GD,SD-KA,SD-KH,SD-NW,SD-SI"
SD-KA,"16.0432,36.0181","[13.7022, 17.1187, 34.2594, 37.0228]",,1257.13,"SD-GD,SD-GZ,SD-KH,SD-NR,SD-RS,SD-SI"
SD-KH,"15.8734,32.9961","[15.1674, 16.6313, 31.6231, 34.4035]",,770.25,"SD-GD,SD-GZ,SD-KA,SD-KN,SD-NO,SD-NR,SD-NW"
SD-KN,"15.0,30.0","[12.2392, 16.5739, 26.9365, 32.3741]",,2014.29,"SD-DE,SD-DN,SD-GK,SD-KH,SD-KS,SD-NO,SD-NR,SD-NW"
SD-KS,"11.0,31.0","[9.7117, 12.7534, 29.192, 32.4697]",,1250.11,"SD-GK,SD-KN,SD-NW"
SD-NB,"11.2565,34.0497","[9.5, 12.479, 33.1383, 35.0961]",,964.27,"SD-NW,SD-SI"
SD-NO,"19.0,30.0","[16.5079, 22.2249, 25.0, 32.7273]",,2814.26,"SD-DN,SD-KH,SD-KN,SD-NR"
SD-NR,"17.9985,34.0558","[16.033, 22.0, 31.8283, 35.7098]",,1934.37,"SD-KA,SD-KH,SD-KN,SD-NO,SD-RS"
SD-NW,"12.5,32.5","[11.9511, 15.231, 31.5523, 33.2501]",,1247.79,"SD-GZ,SD-KH,SD-KN,SD-KS,SD-NB,SD-SI"
SD-RS,"20.0,36.0","[16.9853, 23.3077, 33.2525, 39.0576]",,2317.54,"SD-KA,SD-NR"
SD-SI,"13.0,33.5","[11.6745, 14.0698, 32.9433, 35.7008]",,1104.33,"SD-GD,SD-GZ,SD-KA,SD-NB,SD-NW"
SE-AB,"59.3949,18.666","[58.4889, 60.3007, 17.2437, 20.0084]",,621.39,"SE-C,SE-D,SE-E,SE-I,SE-X"
SE-AC,"64.7282,18.5535","[63.102, 66.3453, 14.326, 22.0806]",,1287.11,"SE-BD,SE-Y,SE-Z"
SE-BD,"66.9812,19.9992","[64.9024, 69.06, 15.3772, 24.1777]",,1652.72,"SE-AC,SE-Z"
SE-C,"60.1452,17.6238","[59.3835, 60.9069, 16.692, 19.2079]",,597.46,"SE-AB,SE-D,SE-U,SE-W,SE-X"
SE-D,"58.9649,16.7294","[58.399, 59.5307, 15.6167, 17.9512]",,516.27,"SE-AB,SE-C,SE-E,SE-I,SE-T,SE-U"
SE-E,"58.3678,16.0464","[57.6996, 59.0187, 14.4177, 17.5693]",,727.34,"SE-AB,SE-D,SE-F,SE-H,SE-O,SE-S,SE-T"
SE-F,"57.5356,14.6415","[56.8792, 58.1911, 13.0771, 15.6657]",,794.26,"SE-E,SE-G,SE-H,SE-N,SE-O"
SE-G,"56.8008,14.4109","[56.3589, 57.2386, 13.2982, 15.8362]",,635.99,"SE-F,SE-H,SE-K,SE-M,SE-N,SE-O"
SE-H,"57.0263,16.575","[55.9141, 58.1424, 15.3374, 17.5198]",,853.32,"SE-E,SE-F,SE-G,SE-K"
SE-I,"57.648,18.5953","[56.7012, 58.5978, 17.5875, 19.7262]",,563.93,"SE-AB,SE-D"
SE-K,"56.1241,15.4023","[55.7467, 56.5035, 14.3901, 16.2237]",,425.89,"SE-G,SE-H,SE-M"
SE-M,"55.8472,13.6339","[55.1371, 56.5572, 12.1175, 14.7017]",,643.11,"SE-G,SE-K,SE-N"
SE-N,"56.9548,12.8566","[56.3241, 57.5975, 11.4536, 13.6936]",,602.72,"SE-F,SE-G,SE-M,SE-O"
SE-O,"58.2246,12.6522","[57.1455, 59.2637, 10.5935, 14.7788]",,1120.1,"SE-E,SE-F,SE-G,SE-N,SE-S,SE-T"
SE-S,"59.8908,13.2949","[58.7253, 61.056, 11.6911, 14.4757]",,854.89,"SE-E,SE-O,SE-T,SE-W,SE-X"
SE-T,"59.3785,14.9883","[58.6462, 60.1109, 14.2852, 15.7982]",,577.37,"SE-D,SE-E,SE-O,SE-S,SE-U,SE-W"
SE-U,"59.6966,16.1846","[59.1979, 60.1951, 15.4222, 16.9659]",,480.74,"SE-C,SE-D,SE-T,SE-W,SE-X"
SE-W,"61.0604,14.2151","[59.8541, 62.2675, 12.1377, 16.7048]",,1033.83,"SE-C,SE-S,SE-T,SE-U,SE-X,SE-Y,SE-Z"
SE-X,"61.2682,16.6889","[60.1886, 62.3435, 14.4465, 18.1164]",,883.02,"SE-AB,SE-C,SE-S,SE-U,SE-W,SE-Y,SE-Z"
SE-Y,"63.0478,18.1014","[62.0872, 64.0274, 14.7804, 19.6078]",,932.59,"SE-AC,SE-W,SE-X,SE-Z"
SE-Z,"63.3466,14.1238","[61.5639, 65.1189, 11.9746, 16.999]",,1414.91,"SE-AC,SE-BD,SE-W,SE-X,SE-Y"
SG-01,"1.3132,103.8357","[1.1809, 1.4454, 103.7712, 103.9166]",,108.99,"SG-02,SG-03,SG-04,SG-05"
SG-02,"1.353,103.9798","[1.2596, 1.4466, 103.8568, 104.1318]",,97.88,"SG-01,SG-03,SG-04"
SG-03,"1.393,103.7767","[1.3073, 1.4788, 103.7396, 103.8779]",,78.54,"SG-01,SG-02,SG-04,SG-05"
SG-04,"1.2885,103.9347","[1.2219, 1.3557, 103.8601, 104.0276]",,63.52,"SG-01,SG-02,SG-03"
SG-05,"1.2953,103.6963","[1.1304, 1.46, 103.5576, 103.8262]",,113.63,"SG-01,SG-03"
SH-AC,"-7.942,-14.3579","[-8.193, -7.69, -14.6227, -14.093]",,178.69,
SH-HL,"-15.9691,-5.713","[-16.23, -15.704, -5.9973, -5.4234]",,186.73,
SH-TA,"-37.2465,-12.487","[-40.57, -36.862, -12.957, -9.6118]",,449.27,
SI-001,"45.8886,13.9049","[45.824, 46.0006, 13.7331, 14.1296]",,109.89,"SI-036,SI-044,SI-049,SI-064,SI-084,SI-094,SI-136"
SI-002,"46.6069,16.2351","[46.5539, 46.6618, 16.1445, 16.3026]",,51.32,"SI-015,SI-063,SI-078,SI-080,SI-086,SI-132,SI-166,SI-188"
SI-003,"46.3684,14.1101","[46.2913, 46.4058, 13.9841, 14.1553]",,55.14,"SI-004,SI-041,SI-053,SI-102,SI-192,SI-207"
SI-004,"46.302,13.909","[46.2257, 46.3784, 13.7244, 14.1816]",,108.55,"SI-003,SI-006,SI-046,SI-052,SI-053,SI-102,SI-122,SI-128,SI-146,SI-192,SI-207"
SI-005,"45.9195,14.3637","[45.8571, 45.9654, 14.3335, 14.4206]",,38.99,"SI-008,SI-013,SI-140"
SI-006,"46.3386,13.5524","[46.266, 46.4467, 13.3997, 13.8366]",,110.58,"SI-004,SI-046,SI-053,SI-128"
SI-007,"46.0162,13.5489","[45.9648, 46.0676, 13.4762, 13.6324]",,46.83,"SI-044,SI-084,SI-128"
SI-008,"45.948,14.418","[45.8592, 46.0368, 14.3637, 14.4907]",,66.28,"SI-005,SI-013,SI-021,SI-037,SI-061,SI-134,SI-140,SI-208"
SI-009,"45.9039,15.5931","[45.8204, 46.0549, 15.4907, 15.7325]",,133.63,"SI-051,SI-054,SI-149"
SI-010,"46.6545,16.0855","[46.6152, 46.701, 16.0357, 16.128]",,30.06,"SI-080,SI-097,SI-100,SI-152"
SI-011,"46.2294,15.2617","[46.1885, 46.321, 15.2093, 15.353]",,64.23,"SI-057,SI-113,SI-120,SI-127,SI-139,SI-155,SI-190"
SI-012,"46.2525,14.4872","[46.2005, 46.3098, 14.4393, 14.5738]",,49.32,"SI-023,SI-043,SI-095,SI-117,SI-138,SI-164"
SI-013,"45.7937,14.3619","[45.7025, 45.8942, 14.2519, 14.5085]",,97.44,"SI-005,SI-008,SI-037,SI-064,SI-065,SI-091,SI-094,SI-134,SI-140,SI-150"
SI-014,"46.128,13.9881","[46.0558, 46.193, 13.8835, 14.0741]",,75.29,"SI-027,SI-036,SI-128,SI-146,SI-147"
SI-015,"46.5704,16.2947","[46.5239, 46.5993, 16.2382, 16.3453]",,34.42,"SI-002,SI-059,SI-063,SI-086,SI-132,SI-176,SI-187"
SI-016,"46.4696,14.8503","[46.4174, 46.5121, 14.6748, 14.9661]",,72.55,"SI-062,SI-067,SI-074,SI-103,SI-112,SI-126,SI-175,SI-180"
SI-017,"45.5701,15.1923","[45.4215, 45.6288, 15.0533, 15.3859]",,114,"SI-048,SI-073,SI-109"
SI-018,"46.4917,15.8794","[46.4491, 46.5087, 15.8169, 15.9421]",,35.08,"SI-024,SI-026,SI-042,SI-058,SI-096,SI-159,SI-182,SI-185"
SI-019,"45.6828,13.9686","[45.6002, 45.7733, 13.9333, 14.0997]",,81.84,"SI-035,SI-038,SI-050,SI-091,SI-094,SI-111,SI-136"
SI-020,"45.8098,14.7426","[45.7266, 45.8934, 14.6339, 14.8421]",,69.74,"SI-032,SI-039,SI-048,SI-066,SI-104,SI-134,SI-179,SI-193"
SI-021,"46.0597,14.3217","[46.0113, 46.1079, 14.1883, 14.4427]",,77.42,"SI-008,SI-027,SI-061,SI-064,SI-071,SI-122,SI-140,SI-162,SI-208"
SI-022,"46.0883,14.6415","[46.073, 46.1203, 14.5905, 14.7537]",,38.82,"SI-023,SI-060,SI-061,SI-077"
SI-023,"46.1394,14.5945","[46.0935, 46.2075, 14.5667, 14.6922]",,61.72,"SI-012,SI-022,SI-043,SI-061,SI-068,SI-072,SI-077,SI-164,SI-186"
SI-024,"46.4352,15.9552","[46.4175, 46.4911, 15.9352, 16.0362]",,34.39,"SI-018,SI-028,SI-042,SI-063,SI-087,SI-096,SI-168,SI-182,SI-205"
SI-025,"46.5896,15.0235","[46.5305, 46.6522, 14.9204, 15.1278]",,71.89,"SI-081,SI-103,SI-112,SI-141,SI-175"
SI-026,"46.5091,15.7626","[46.4685, 46.5501, 15.712, 15.8178]",,33.85,"SI-018,SI-058,SI-070,SI-096,SI-098,SI-115,SI-169"
SI-027,"46.1087,14.1268","[46.0369, 46.1809, 14.0178, 14.228]",,85.31,"SI-014,SI-021,SI-036,SI-052,SI-064,SI-122,SI-146,SI-147"
SI-028,"46.412,16.0134","[46.3698, 46.4396, 15.9716, 16.0587]",,27.88,"SI-024,SI-087,SI-135,SI-143,SI-168,SI-196"
SI-029,"46.677,15.9913","[46.5854, 46.687, 15.8857, 16.0334]",,50.5,"SI-100,SI-116,SI-148,SI-153,SI-181,SI-195,SI-204"
SI-030,"46.2961,14.8058","[46.2499, 46.3423, 14.6956, 14.8788]",,47.19,"SI-043,SI-062,SI-067,SI-083,SI-209"
SI-031,"46.8037,16.2186","[46.7384, 46.8601, 16.1248, 16.2714]",,49.4,"SI-033,SI-056,SI-078,SI-097,SI-158"
SI-032,"45.9572,14.6555","[45.8732, 46.0153, 14.5847, 14.7541]",,79.73,"SI-020,SI-037,SI-039,SI-060,SI-061,SI-123,SI-134,SI-194"
SI-033,"46.8244,16.2858","[46.7709, 46.8767, 16.1753, 16.313]",,44.61,"SI-031,SI-078,SI-097,SI-161"
SI-034,"46.1456,15.0817","[46.0861, 46.184, 15.0578, 15.1889]",,48.07,"SI-057,SI-060,SI-099,SI-110,SI-129,SI-142,SI-174,SI-190"
SI-035,"45.5623,14.0126","[45.4811, 45.6444, 13.8688, 14.1316]",,85.72,"SI-019,SI-038,SI-050,SI-091,SI-111"
SI-036,"46.0024,14.0273","[45.8785, 46.0891, 13.8551, 14.146]",,112.84,"SI-001,SI-014,SI-027,SI-064,SI-084,SI-094,SI-128,SI-136,SI-147"
SI-037,"45.9592,14.5276","[45.8639, 46.0031, 14.4461, 14.5917]",,54.23,"SI-008,SI-013,SI-032,SI-061,SI-123,SI-134"
SI-038,"45.5637,14.2453","[45.4692, 45.6853, 14.0905, 14.5026]",,133.16,"SI-019,SI-035,SI-065,SI-091"
SI-039,"45.939,14.805","[45.7954, 46.0131, 14.7049, 14.9249]",,102.14,"SI-020,SI-032,SI-060,SI-061,SI-104,SI-130,SI-193,SI-194"
SI-040,"45.5399,13.6594","[45.4727, 45.622, 13.5389, 13.6941]",,49.67,"SI-050,SI-090,SI-213"
SI-041,"46.4324,14.0624","[46.3986, 46.4932, 13.9871, 14.1534]",,45.47,"SI-003,SI-053,SI-102,SI-192,SI-207"
SI-042,"46.4859,15.9682","[46.4405, 46.5255, 15.9347, 16.0156]",,29.67,"SI-018,SI-024,SI-063,SI-096,SI-116,SI-182,SI-205"
SI-043,"46.2257,14.6119","[46.1823, 46.3677, 14.5353, 14.9282]",,117.01,"SI-012,SI-023,SI-030,SI-062,SI-067,SI-068,SI-072,SI-079,SI-083,SI-095,SI-126,SI-138,SI-142,SI-163,SI-164,SI-180,SI-189,SI-209"
SI-044,"46.0859,13.6339","[45.9969, 46.1712, 13.5292, 13.7723]",,80.8,"SI-001,SI-007,SI-084,SI-128"
SI-045,"46.4044,15.7965","[46.3568, 46.4388, 15.6649, 15.8233]",,46.9,"SI-069,SI-096,SI-098,SI-113,SI-115,SI-135,SI-159"
SI-046,"46.2455,13.5792","[46.1842, 46.3021, 13.3755, 13.735]",,102.6,"SI-004,SI-006,SI-128"
SI-047,"46.6849,16.3923","[46.6585, 46.7042, 16.3528, 16.4286]",,21.78,"SI-078,SI-156"
SI-048,"45.643,14.8553","[45.4857, 45.7761, 14.6967, 15.1124]",,150.22,"SI-017,SI-020,SI-066,SI-085,SI-088,SI-104,SI-109,SI-157,SI-165,SI-193,SI-203"
SI-049,"45.8167,13.745","[45.775, 45.8635, 13.5959, 13.9079]",,75.77,"SI-001,SI-075,SI-084,SI-111,SI-136,SI-201"
SI-050,"45.548,13.7305","[45.4251, 45.6281, 13.5932, 14.0019]",,142.82,"SI-019,SI-035,SI-040,SI-090,SI-213"
SI-051,"46.0746,15.5606","[45.996, 46.1337, 15.4543, 15.656]",,74.77,"SI-009,SI-054,SI-092,SI-120,SI-149"
SI-052,"46.2433,14.3549","[46.1577, 46.3504, 14.1638, 14.4225]",,128.7,"SI-004,SI-027,SI-071,SI-082,SI-095,SI-102,SI-117,SI-122,SI-131,SI-146,SI-163"
SI-053,"46.4851,13.7844","[46.377, 46.5235, 13.6774, 14.0114]",,85.57,"SI-003,SI-004,SI-006,SI-041,SI-207"
SI-054,"45.9576,15.4947","[45.8208, 46.0717, 15.3342, 15.5703]",,110.28,"SI-009,SI-051,SI-057,SI-092,SI-110,SI-119,SI-120,SI-121,SI-197"
SI-055,"46.6414,15.5968","[46.5924, 46.6904, 15.5424, 15.6623]",,44.56,"SI-070,SI-089,SI-118,SI-178"
SI-056,"46.8349,16.0809","[46.8106, 46.8693, 16.0543, 16.1374]",,25.5,"SI-031,SI-097,SI-105,SI-158"
SI-057,"46.1538,15.2355","[46.0551, 46.201, 15.1118, 15.3755]",,105.3,"SI-011,SI-034,SI-054,SI-099,SI-110,SI-120,SI-127,SI-154,SI-174,SI-190"
SI-058,"46.5764,15.831","[46.4945, 46.6138, 15.7503, 15.8697]",,58.37,"SI-018,SI-026,SI-070,SI-089,SI-096,SI-115,SI-148,SI-181,SI-185,SI-204,SI-210"
SI-059,"46.564,16.4526","[46.4714, 46.6382, 16.3125, 16.5967]",,99.38,"SI-015,SI-132,SI-156,SI-176,SI-187"
SI-060,"46.0576,14.8314","[45.963, 46.1363, 14.7116, 15.0996]",,129.51,"SI-022,SI-032,SI-034,SI-039,SI-061,SI-077,SI-099,SI-110,SI-129,SI-130,SI-142,SI-194,SI-199,SI-211,SI-212"
SI-061,"46.05,14.5069","[45.9741, 46.146, 14.4086, 14.7553]",,136.5,"SI-008,SI-021,SI-022,SI-023,SI-032,SI-037,SI-039,SI-060,SI-068,SI-071,SI-072,SI-077,SI-123,SI-138,SI-186,SI-194"
SI-062,"46.3664,14.8398","[46.3093, 46.4243, 14.7764, 14.9015]",,46.35,"SI-016,SI-030,SI-043,SI-067,SI-079,SI-083,SI-126,SI-209"
SI-063,"46.5187,16.1967","[46.4662, 46.5781, 16.0116, 16.2683]",,81.44,"SI-002,SI-015,SI-024,SI-042,SI-086,SI-087,SI-116,SI-166,SI-176,SI-188,SI-205"
SI-064,"45.9178,14.2234","[45.847, 46.0377, 14.0979, 14.3021]",,85.66,"SI-001,SI-013,SI-021,SI-027,SI-036,SI-094,SI-140,SI-147,SI-162"
SI-065,"45.6645,14.4997","[45.5797, 45.749, 14.3794, 14.5701]",,71.86,"SI-013,SI-038,SI-066,SI-091,SI-150,SI-179"
SI-066,"45.6625,14.67","[45.5813, 45.7437, 14.5375, 14.7351]",,70.87,"SI-020,SI-048,SI-065,SI-088,SI-104,SI-150,SI-179"
SI-067,"46.3554,14.7451","[46.2816, 46.432, 14.6374, 14.813]",,56.65,"SI-016,SI-030,SI-043,SI-062,SI-180"
SI-068,"46.175,14.7618","[46.1417, 46.2084, 14.6427, 14.9029]",,72.13,"SI-023,SI-043,SI-061,SI-077,SI-142,SI-189"
SI-069,"46.3504,15.7347","[46.262, 46.3694, 15.6666, 15.8142]",,54.6,"SI-045,SI-106,SI-107,SI-113,SI-135,SI-191,SI-198"
SI-070,"46.5576,15.6456","[46.4994, 46.6343, 15.517, 15.7723]",,81.98,"SI-026,SI-055,SI-058,SI-089,SI-108,SI-115,SI-118,SI-160,SI-169,SI-178,SI-210"
SI-071,"46.1402,14.4131","[46.0774, 46.1918, 14.3264, 14.4697]",,64.03,"SI-021,SI-052,SI-061,SI-117,SI-122,SI-138"
SI-072,"46.163,14.5722","[46.1309, 46.1959, 14.5131, 14.5928]",,27.32,"SI-023,SI-043,SI-061,SI-138,SI-164,SI-186"
SI-073,"45.6501,15.3174","[45.5714, 45.7272, 15.2056, 15.4066]",,106.12,"SI-017,SI-085,SI-109"
SI-074,"46.5195,14.8522","[46.4901, 46.5504, 14.8175, 14.903]",,31.29,"SI-016,SI-103,SI-175"
SI-075,"45.8598,13.6499","[45.8159, 45.9039, 13.5744, 13.7194]",,46.41,"SI-049,SI-084,SI-183,SI-201"
SI-076,"46.4436,15.1984","[46.3866, 46.5076, 15.1227, 15.3282]",,60.92,"SI-112,SI-133,SI-137,SI-144,SI-155,SI-167,SI-177"
SI-077,"46.1357,14.7442","[46.0948, 46.1688, 14.6787, 14.843]",,55.26,"SI-022,SI-023,SI-060,SI-061,SI-068,SI-142"
SI-078,"46.6858,16.2217","[46.6433, 46.7781, 16.1697, 16.3799]",,68.94,"SI-002,SI-031,SI-033,SI-047,SI-080,SI-097,SI-132,SI-156"
SI-079,"46.3396,14.9634","[46.2991, 46.4035, 14.8881, 15.0085]",,41.23,"SI-043,SI-062,SI-083,SI-125,SI-126,SI-151,SI-209"
SI-080,"46.6625,16.1655","[46.5997, 46.6992, 16.0982, 16.2376]",,48.56,"SI-002,SI-010,SI-078,SI-097,SI-100,SI-166,SI-188"
SI-081,"46.6094,15.1655","[46.5915, 46.6598, 15.0824, 15.1899]",,30.58,"SI-025,SI-101,SI-141"
SI-082,"46.2728,14.3151","[46.2497, 46.3251, 14.2599, 14.3384]",,35.46,"SI-052,SI-102,SI-131"
SI-083,"46.3206,14.9487","[46.2376, 46.335, 14.8531, 14.9726]",,43.05,"SI-030,SI-043,SI-062,SI-079,SI-151,SI-184,SI-189,SI-209"
SI-084,"45.9581,13.6475","[45.8339, 46.1081, 13.6086, 13.8684]",,137.84,"SI-001,SI-007,SI-036,SI-044,SI-049,SI-075,SI-128,SI-183,SI-201"
SI-085,"45.804,15.1697","[45.6845, 45.8769, 15.0928, 15.3164]",,88.77,"SI-048,SI-073,SI-109,SI-119,SI-121,SI-130,SI-157,SI-170,SI-199,SI-203,SI-206"
SI-086,"46.5867,16.2763","[46.5687, 46.6017, 16.2506, 16.2986]",,12.91,"SI-002,SI-015,SI-063,SI-132"
SI-087,"46.4072,16.1489","[46.3779, 46.5007, 16.0167, 16.2707]",,97.33,"SI-024,SI-028,SI-063,SI-143,SI-176,SI-196,SI-202,SI-205"
SI-088,"45.5292,14.6989","[45.5009, 45.6007, 14.685, 14.7955]",,38.92,"SI-048,SI-066,SI-165"
SI-089,"46.6182,15.7062","[46.5598, 46.6758, 15.6443, 15.7712]",,50.3,"SI-055,SI-058,SI-070,SI-118,SI-210"
SI-090,"45.5285,13.5684","[45.4456, 45.6074, 13.3844, 13.7124]",,78.42,"SI-040,SI-050,SI-213"
SI-091,"45.6825,14.1954","[45.6208, 45.7567, 14.0665, 14.4366]",,101.53,"SI-013,SI-019,SI-035,SI-038,SI-065,SI-094"
SI-092,"46.1518,15.5975","[46.0655, 46.2069, 15.5248, 15.6383]",,64.89,"SI-051,SI-054,SI-106,SI-120,SI-124,SI-149"
SI-093,"46.589,15.3281","[46.5112, 46.655, 15.271, 15.4481]",,71.56,"SI-101,SI-108,SI-167,SI-177,SI-178"
SI-094,"45.7753,14.214","[45.7014, 45.8791, 14.0424, 14.326]",,94.84,"SI-001,SI-013,SI-019,SI-036,SI-064,SI-091,SI-136,SI-140"
SI-095,"46.3021,14.4217","[46.2816, 46.3667, 14.3636, 14.5549]",,54.78,"SI-012,SI-043,SI-052,SI-117,SI-131,SI-163"
SI-096,"46.4198,15.8717","[46.3856, 46.4975, 15.7751, 15.9461]",,62.26,"SI-018,SI-024,SI-026,SI-042,SI-045,SI-058,SI-115,SI-135,SI-159,SI-168,SI-182"
SI-097,"46.7043,16.1551","[46.6842, 46.826, 16.0445, 16.2132]",,64.9,"SI-010,SI-031,SI-033,SI-056,SI-078,SI-080,SI-105,SI-152,SI-158"
SI-098,"46.4474,15.6537","[46.4086, 46.4864, 15.5416, 15.7277]",,46.93,"SI-026,SI-045,SI-108,SI-113,SI-115,SI-160,SI-169"
