subdivisionCode,latLng,boundingBox,geojson,perimeter,neighbours
MH-MEJ,"10.2763,170.8645","[9.6603, 10.583, 170.4144, 171.2224]",,319.09,"MH-ALK,MH-MAL,MH-T,MH-WTJ"
MH-MIL,"6.1333,171.9167","[5.6743, 6.676, 171.233, 172.374]",,386.04,"MH-ARN,MH-MAJ,MH-T"
MH-NMK,"5.6171,168.1117","[5.3876, 5.847, 167.8818, 168.3375]",,160.48,"MH-KIL,MH-L"
MH-NMU,"7.9871,168.1616","[7.4265, 8.5512, 167.6097, 168.6918]",,366.36,"MH-ALL,MH-JAB,MH-KIL,MH-KWA,MH-L,MH-LIB,MH-T"
MH-RON,"11.1621,166.8926","[10.2417, 11.8081, 165.7178, 167.7298]",,652.85,"MH-KIL,MH-KWA,MH-L,MH-WTH"
MH-T,"8.6151,170.8206","[5.6743, 14.9241, 168.6783, 172.374]",,2059.52,"MH-ALK,MH-ALL,MH-ARN,MH-AUR,MH-JAB,MH-JAL,MH-KIL,MH-L,MH-LIK,MH-MAJ,MH-MAL,MH-MEJ,MH-MIL,MH-NMU,MH-UTI,MH-WTJ"
MH-UJA,"9.0812,165.6123","[8.7203, 9.7375, 165.3165, 166.0473]",,320.15,"MH-KIL,MH-L,MH-LAE,MH-WTH"
MH-UTI,"11.2475,169.7876","[10.6931, 14.9241, 168.6783, 170.3521]",,669.03,"MH-ALK,MH-KIL,MH-L,MH-T"
MH-WTH,"10.1031,165.9677","[9.487, 10.8441, 165.3637, 166.8849]",,513.28,"MH-KIL,MH-KWA,MH-L,MH-LAE,MH-RON,MH-UJA"
MH-WTJ,"9.4529,170.0722","[8.564, 9.9418, 169.4007, 170.7935]",,462.5,"MH-ALK,MH-KIL,MH-L,MH-LIK,MH-MAL,MH-MEJ,MH-T"
MK-101,"41.7665,21.7255","[41.6121, 41.9198, 21.5787, 21.8803]",,133.96,"MK-102,MK-105,MK-108,MK-109,MK-806,MK-810,MK-813"
MK-102,"41.6134,21.8861","[41.4922, 41.7345, 21.7804, 22.0805]",,124.4,"MK-101,MK-104,MK-105,MK-106,MK-107,MK-108,MK-109,MK-211"
MK-103,"41.3939,22.2488","[41.29, 41.4979, 22.1024, 22.3706]",,97.82,"MK-104,MK-106,MK-403,MK-405,MK-407"
MK-104,"41.3051,21.9959","[41.0927, 41.5175, 21.7736, 22.2998]",,223.62,"MK-102,MK-103,MK-106,MK-107,MK-109,MK-405,MK-407,MK-507,MK-508"
MK-105,"41.7564,21.9256","[41.6561, 41.8559, 21.8222, 22.0258]",,84.05,"MK-101,MK-102,MK-106,MK-108,MK-211"
MK-106,"41.5089,22.1808","[41.3541, 41.6637, 21.9887, 22.3143]",,148.76,"MK-102,MK-103,MK-104,MK-105,MK-107,MK-211,MK-405,MK-407,MK-409"
MK-107,"41.5002,21.9057","[41.437, 41.5629, 21.8105, 22.0013]",,67.97,"MK-102,MK-104,MK-106,MK-109,MK-211,MK-508"
MK-108,"41.8764,21.9689","[41.7312, 42.0215, 21.8055, 22.1261]",,115.7,"MK-101,MK-102,MK-105,MK-109,MK-209,MK-211,MK-701,MK-703,MK-810"
MK-109,"41.6077,21.5778","[41.4463, 41.7684, 21.3701, 21.818]",,155.39,"MK-101,MK-102,MK-104,MK-107,MK-108,MK-308,MK-503,MK-508,MK-806,MK-812,MK-813"
MK-201,"41.6697,22.8174","[41.5181, 41.8213, 22.6372, 23.0135]",,151.32,"MK-202,MK-203,MK-208,MK-402,MK-404,MK-408,MK-409"
MK-202,"41.8607,22.5928","[41.7279, 41.9935, 22.4518, 22.735]",,111.8,"MK-201,MK-203,MK-204,MK-205,MK-206,MK-207,MK-409"
MK-203,"41.9374,22.7597","[41.8023, 42.073, 22.6173, 22.9018]",,109.73,"MK-201,MK-202,MK-207,MK-208"
MK-204,"41.8374,22.4287","[41.7938, 41.8807, 22.3743, 22.4768]",,34.53,"MK-202,MK-205,MK-206,MK-210,MK-211"
MK-205,"41.7982,22.3031","[41.7207, 41.8754, 22.1355, 22.4699]",,89.19,"MK-202,MK-204,MK-206,MK-209,MK-210,MK-211,MK-409"
MK-206,"41.993,22.4234","[41.8612, 42.1258, 22.2537, 22.5497]",,117.41,"MK-202,MK-204,MK-205,MK-207,MK-209,MK-210,MK-211,MK-701,MK-702"
MK-207,"42.0555,22.5707","[41.9556, 42.1556, 22.4519, 22.6612]",,74.64,"MK-202,MK-203,MK-206,MK-702"
MK-208,"41.7841,22.8747","[41.6901, 41.878, 22.783, 23.0341]",,82.64,"MK-201,MK-203"
MK-209,"41.9638,22.1643","[41.8569, 42.0708, 22.0247, 22.361]",,113.64,"MK-108,MK-205,MK-206,MK-210,MK-211,MK-701"
MK-210,"41.8753,22.29","[41.8037, 41.9462, 22.2039, 22.4078]",,68.23,"MK-204,MK-205,MK-206,MK-209,MK-211"
MK-211,"41.7171,22.186","[41.5488, 41.8854, 21.9481, 22.4158]",,170.71,"MK-102,MK-105,MK-106,MK-107,MK-108,MK-204,MK-205,MK-206,MK-209,MK-210,MK-407,MK-409"
MK-301,"41.2445,20.5736","[41.2248, 41.2643, 20.5156, 20.6485]",,33.36,MK-312
MK-303,"41.4953,20.6749","[41.4085, 41.582, 20.4529, 20.7297]",,110.42,"MK-304,MK-307,MK-312,MK-313,MK-607"
