alphaCode,subdivisionCode,name,localOtherName,type,parentCode,flag,latLng,customAttributes,delete,notes,dateIssued
GB,GB-CRY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CWY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DAL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DBY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DEN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DER,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DEV,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DGY,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DNC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DND,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DOR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DRS,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DUD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DUR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-EAL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-EAY,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-EDH,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-EDU,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ELN,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ELS,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ENF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ERW,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ERY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ESS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ESX,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-FAL,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-FIF,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-FLN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-FMO,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GAT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GLG,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GLS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GRE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GWN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HAL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HAM,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HAV,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HCK,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HEF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HIL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HLD,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HMF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HNS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HPL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HRT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HRW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HRY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-IOS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-IOW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ISL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-IVC,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KEC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KEN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KHL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KIR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KTT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KWL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LAN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LBC,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LBH,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LCE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LDS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LEC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LEW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LIN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LIV,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LND,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LUT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
